"canonicalName","DEGREE","Gene","id","MCODE_CLUSTER_ID","MCODE_SCORE","MCODE_TYPE","name","selected","shared name","Symbol"
"PACSIN2","10.0","11252","11252","0.0","0.0","","11252","false","11252","PACSIN2"
"COPE","19.0","11316","11316","0.0","0.0","","11316","false","11316","COPE"
"GPN1","15.0","11321","11321","3.0","2.4347826086956523","Clustered","11321","false","11321","GPN1"
"COPG1","30.0","22820","22820","8.0","2.8823529411764706","Clustered","22820","false","22820","COPG1"
"LMTK2","5.0","22853","22853","0.0","0.0","","22853","false","22853","LMTK2"
"PPP6R1","14.0","22870","22870","7.0","1.4210526315789473","Clustered","22870","false","22870","PPP6R1"
"SEC31A","26.0","22872","22872","1.0","7.3478260869565215","Clustered","22872","false","22872","SEC31A"
"DHX30","25.0","22907","22907","0.0","0.0","","22907","false","22907","DHX30"
"CNOT1","47.0","23019","23019","8.0","2.8823529411764706","Clustered","23019","false","23019","CNOT1"
"MRPS27","26.0","23107","23107","2.0","9.114285714285714","Clustered","23107","false","23107","MRPS27"
"ABRAXAS2","7.0","23172","23172","0.0","0.0","","23172","false","23172","ABRAXAS2"
"LARP4B","18.0","23185","23185","0.0","0.0","","23185","false","23185","LARP4B"
"CYFIP1","10.0","23191","23191","0.0","0.0","","23191","false","23191","CYFIP1"
"FAM120A","30.0","23196","23196","1.0","7.3478260869565215","Clustered","23196","false","23196","FAM120A"
"FAF2","32.0","23197","23197","0.0","0.0","","23197","false","23197","FAF2"
"ANKRD28","28.0","23243","23243","7.0","1.4210526315789473","Clustered","23243","false","23243","ANKRD28"
"MTCL1","7.0","23255","23255","0.0","0.0","","23255","false","23255","MTCL1"
"UBR4","22.0","23352","23352","0.0","0.0","","23352","false","23352","UBR4"
"PSD3","2.0","23362","23362","0.0","0.0","","23362","false","23362","PSD3"
"LARP1","36.0","23367","23367","8.0","2.8823529411764706","Clustered","23367","false","23367","LARP1"
"MACF1","15.0","23499","23499","0.0","0.0","","23499","false","23499","MACF1"
"MTREX","35.0","23517","23517","1.0","7.3478260869565215","Clustered","23517","false","23517","MTREX"
"KPNA6","19.0","23633","23633","0.0","0.0","","23633","false","23633","KPNA6"
"NOL11","5.0","25926","25926","0.0","0.0","","25926","false","25926","NOL11"
"GEMIN5","30.0","25929","25929","5.0","2.047619047619048","Clustered","25929","false","25929","GEMIN5"
"KANK2","9.0","25959","25959","0.0","0.0","","25959","false","25959","KANK2"
"RAB11FIP5","9.0","26056","26056","0.0","0.0","","26056","false","26056","RAB11FIP5"
"GIGYF2","27.0","26058","26058","6.0","2.1","Clustered","26058","false","26058","GIGYF2"
"TOR1AIP1","10.0","26092","26092","0.0","0.0","","26092","false","26092","TOR1AIP1"
"SENP3","25.0","26168","26168","0.0","0.0","","26168","false","26168","SENP3"
"ARFGAP3","14.0","26286","26286","3.0","2.4347826086956523","Clustered","26286","false","26286","ARFGAP3"
"AKAP8L","9.0","26993","26993","0.0","0.0","","26993","false","26993","AKAP8L"
"CACYBP","14.0","27101","27101","0.0","0.0","","27101","false","27101","CACYBP"
"TUBGCP4","13.0","27229","27229","0.0","0.0","","27229","false","27229","TUBGCP4"
"PDCD4","22.0","27250","27250","0.0","0.0","","27250","false","27250","PDCD4"
"EIF3K","25.0","27335","27335","2.0","9.114285714285714","Seed","27335","false","27335","EIF3K"
"MRPL18","23.0","29074","29074","2.0","9.114285714285714","Clustered","29074","false","29074","MRPL18"
"PACSIN3","4.0","29763","29763","0.0","0.0","","29763","false","29763","PACSIN3"
"TRA2A","26.0","29896","29896","1.0","7.3478260869565215","Clustered","29896","false","29896","TRA2A"
"STRN3","18.0","29966","29966","3.0","2.4347826086956523","Clustered","29966","false","29966","STRN3"
"MRPL2","30.0","51069","51069","2.0","9.114285714285714","Clustered","51069","false","51069","MRPL2"
"TMX2","2.0","51075","51075","0.0","0.0","","51075","false","51075","TMX2"
"SDF4","6.0","51150","51150","0.0","0.0","","51150","false","51150","SDF4"
