Cluster,Score,Type,Gene,Symbol,Network
9,1.5,Clustered,220988,HNRNPA3,MyList_SUB1
9,1.5,Clustered,7536,SF1,MyList_SUB1
9,1.5,Seed,811,CALR,MyList_SUB1
9,1.5,Clustered,5230,PGK1,MyList_SUB1
9,1.5,Clustered,10616,RBCK1,MyList_SUB1
9,1.5,Clustered,2017,CTTN,MyList_SUB1
9,1.5,Clustered,4430,MYO1B,MyList_SUB1
9,1.5,Clustered,9958,USP15,MyList_SUB1
9,1.5,Clustered,6599,SMARCC1,MyList_SUB1
9,1.5,Clustered,81,ACTN4,MyList_SUB1
9,1.5,Clustered,5747,PTK2,MyList_SUB1
9,1.5,Clustered,6737,TRIM21,MyList_SUB1
7,1.4210526315789473,Clustered,10549,PRDX4,MyList_SUB1
7,1.4210526315789473,Clustered,7018,TF,MyList_SUB1
7,1.4210526315789473,Clustered,115004,CGAS,MyList_SUB1
7,1.4210526315789473,Clustered,3949,LDLR,MyList_SUB1
7,1.4210526315789473,Clustered,3035,HARS1,MyList_SUB1
7,1.4210526315789473,Clustered,8607,RUVBL1,MyList_SUB1
7,1.4210526315789473,Seed,7186,TRAF2,MyList_SUB1
7,1.4210526315789473,Clustered,5516,PPP2CB,MyList_SUB1
7,1.4210526315789473,Clustered,9260,PDLIM7,MyList_SUB1
7,1.4210526315789473,Clustered,6897,TARS1,MyList_SUB1
7,1.4210526315789473,Clustered,813,CALU,MyList_SUB1
7,1.4210526315789473,Clustered,7094,TLN1,MyList_SUB1
7,1.4210526315789473,Clustered,91526,ANKRD44,MyList_SUB1
7,1.4210526315789473,Clustered,7037,TFRC,MyList_SUB1
7,1.4210526315789473,Clustered,6050,RNH1,MyList_SUB1
7,1.4210526315789473,Clustered,23243,ANKRD28,MyList_SUB1
7,1.4210526315789473,Clustered,5684,PSMA3,MyList_SUB1
7,1.4210526315789473,Clustered,87,ACTN1,MyList_SUB1
7,1.4210526315789473,Clustered,22870,PPP6R1,MyList_SUB1
10,1.0,Clustered,55110,MAGOHB,MyList_SUB1
10,1.0,Clustered,51340,CRNKL1,MyList_SUB1
10,1.0,Clustered,5437,POLR2H,MyList_SUB1
11,1.0,Clustered,4791,NFKB2,MyList_SUB1
11,1.0,Clustered,8239,USP9X,MyList_SUB1
11,1.0,Seed,3839,KPNA3,MyList_SUB1
12,1.0,Clustered,4651,MYO10,MyList_SUB1
12,1.0,Clustered,9500,MAGED1,MyList_SUB1
12,1.0,Seed,9867,PJA2,MyList_SUB1
