"Gene_A","Gene_B","interaction","name","Name_A","Name_B","SCORE","selected","shared interaction","shared name","source","support","target","TYPE"
"7415","9319","Direct","","VCP","TRIP13","208","false","Direct","","7415","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35562734"", ""BioGrid_Type"": ""Affinity Capture-MS""}","9319","Direct"
"7415","9208","Direct","","VCP","LRRFIP1","208","false","Direct","","7415","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35831314"", ""BioGrid_Type"": ""Co-fractionation""}","9208","Direct"
"7415","91607","Direct","","VCP","SLFN11","208","false","Direct","","7415","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""33863777"", ""BioGrid_Type"": ""Proximity Label-MS""}","91607","Direct"
"7415","9125","Direct","","VCP","CNOT9","215","false","Direct","","7415","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.182,textmining:0.064,coexpression:0.028"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""23383273"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Physical"": 215, ""String_Score_Combined"": 286}","9125","Direct"
"7415","8878","Direct","","VCP","SQSTM1","270","false","Direct","","7415","{""StringDB"": ""physical"", ""StringEvidence"": ""textmining:0.820,experiments:0.239,coexpression:0.042"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""33545068,29941173"", ""BioGrid_Type"": ""Proximity Label-MS,Affinity Capture-Western"", ""String_Score_Physical"": 270, ""String_Score_Combined"": 873}","8878","Direct"
"7415","8836","Direct","","VCP","GGH","208","false","Direct","","7415","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35562734"", ""BioGrid_Type"": ""Affinity Capture-MS""}","8836","Direct"
"7415","871","Direct","","VCP","SERPINH1","208","false","Direct","","7415","{""StringDB"": ""functional"", ""StringEvidence"": ""textmining:0.114,coexpression:0.025"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35562734"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Combined"": 171, ""String_Score_Physical"": 208}","871","Direct"
"7415","8668","Direct","","VCP","EIF3I","208","false","Direct","","7415","{""StringDB"": ""functional"", ""StringEvidence"": ""textmining:0.090,coexpression:0.056"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35562734"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Combined"": 176, ""String_Score_Physical"": 208}","8668","Direct"
"7415","8664","Direct","","VCP","EIF3D","771","false","Direct","","7415","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.761,textmining:0.506,coexpression:0.038"", ""String_Score_Physical"": 771, ""String_Score_Combined"": 891}","8664","Direct"
"7415","8661","Direct","","VCP","EIF3A","208","false","Direct","","7415","{""StringDB"": ""functional"", ""StringEvidence"": ""textmining:0.079,coexpression:0.053"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35562734"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Combined"": 163, ""String_Score_Physical"": 208}","8661","Direct"
"7415","8570","Direct","","VCP","KHSRP","208","false","Direct","","7415","{""StringDB"": ""functional"", ""StringEvidence"": ""textmining:0.104,coexpression:0.070"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35562734"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Combined"": 200, ""String_Score_Physical"": 208}","8570","Direct"
"7415","857","Direct","","VCP","CAV1","693","false","Direct","","7415","{""StringDB"": ""physical"", ""StringEvidence"": ""textmining:0.764,experiments:0.680"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35562734,31980649,29599191,24089527,23335559"", ""BioGrid_Type"": ""Reconstituted Complex,Co-localization,Affinity Capture-MS,Affinity Capture-Western"", ""String_Score_Physical"": 693, ""String_Score_Combined"": 927}","857","Direct"
"7415","85456","Direct","","VCP","TNKS1BP1","208","false","Direct","","7415","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""23383273"", ""BioGrid_Type"": ""Affinity Capture-MS""}","85456","Direct"
"7415","85440","Direct","","VCP","DOCK7","208","false","Direct","","7415","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""23383273"", ""BioGrid_Type"": ""Affinity Capture-MS""}","85440","Direct"
"7415","8508","Direct","","VCP","NIPSNAP1","288","false","Direct","","7415","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.258,textmining:0.032"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""23443559"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Physical"": 288, ""String_Score_Combined"": 311}","8508","Direct"
"7415","8411","Direct","","VCP","EEA1","286","false","Direct","","7415","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.256,textmining:0.188,coexpression:0.022"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""21556036"", ""BioGrid_Type"": ""Affinity Capture-Western"", ""String_Score_Physical"": 286, ""String_Score_Combined"": 433}","8411","Direct"
"7415","8218","Direct","","VCP","CLTCL1","323","false","Direct","","7415","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.295,textmining:0.039,coexpression:0.028"", ""String_Score_Physical"": 323, ""String_Score_Combined"": 368}","8218","Direct"
"7415","813","Direct","","VCP","CALU","679","false","Direct","","7415","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.665,textmining:0.106,coexpression:0.088"", ""InWeb_IM"": ""inference"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""26344197"", ""BioGrid_Type"": ""Co-fractionation"", ""BioGrid_Score"": ""0.130217087"", ""String_Score_Physical"": 679, ""String_Score_Combined"": 738}","813","Direct"
