shcGAS-1/shGFP	shcGAS-2/shGFP	shGFP	shcGAS-1	shcGAS-2
0.522260278	0.93490919	133.4597	69.7007	124.7727
0.522901064	1.359278899	2016.915	1054.647	2741.55
0.524054133	0.442418456	958.38	502.243	424.005
0.524066728	0.994384015	217.059	113.7534	215.84
0.524558046	1.131638806	526.243	276.045	595.517
0.526856941	0.748203739	4972.83	2619.97	3720.69
0.527270104	1.117508349	1545.337	814.81	1726.927
0.527508187	0.741569365	1004.61	529.94	744.988
0.527979989	0.867151881	2168.8	1145.083	1880.679
0.52951416	0.863955107	7881.81	4173.53	6809.53
0.531169987	0.708303557	489.766	260.149	346.903
0.531488215	1.31692408	2301.75	1223.353	3031.23
0.532383793	0.809826001	6769.59	3604.02	5482.19
0.533402042	1.207837566	379.378	202.361	458.227
0.533459241	0.8123948	185.4794	98.9457	150.6825
0.533537489	0.779124849	421.573	224.925	328.458
0.53426575	1.138009044	1555.956	831.294	1770.692
0.535014238	0.679587211	92.9579	49.7338	63.173
0.535212881	1.286027939	89.0427	47.6568	114.5114
0.535410262	1.031206784	7946.99	4254.9	8194.99
0.535879497	0.78761659	184.3741	98.8023	145.2161
0.536017457	1.069123023	3783.11	2027.813	4044.61
0.536121557	0.552288972	460.556	246.914	254.36
0.536708407	1.393160653	1920.037	1030.5	2674.92
0.536866074	0.811211169	2037.7	1093.972	1653.005
0.53693539	1.287299358	54.4004	29.2095	70.0296
0.537207091	0.69512142	711.867	382.42	494.834
0.537207874	0.575061889	165.1344	88.7115	94.9625
0.537269406	1.432031781	266.323	143.0872	381.383
0.537316294	2.119575073	521.689	280.312	1105.759
0.539788707	0.956397611	28.6521	15.46608	27.4028
0.540536496	0.711991836	1075.907	581.567	766.037
0.540997079	0.69361246	235.568	127.4416	163.3929
0.541235507	0.67169553	1055.971	571.529	709.291
0.541528679	0.844179165	151.9155	82.2666	128.2439
0.542280914	0.986155257	860.471	466.617	848.558
0.543651654	1.187699374	1370.223	744.924	1627.413
0.544053402	0.57358303	1068.283	581.203	612.749
0.544405325	1.446796302	873.116	475.329	1263.221
0.544778595	1.246860128	961.743	523.937	1199.159
0.545168049	0.909940711	364.149	198.5224	331.354
0.545170441	0.872439188	333.488	181.8078	290.948
0.545499573	1.483534235	4017.73	2191.67	5960.44
0.54658751	1.135169395	78.2581	42.7749	88.8362
0.548072914	1.639073021	400.527	219.518	656.493
0.549386188	1.155827685	4604.83	2529.83	5322.39
0.549593133	1.662005263	1682.612	924.752	2796.51
0.550957512	1.268000457	525.32	289.429	666.106
0.550966254	0.585773213	3347.98	1844.624	1961.157
0.551001647	1.195394709	428.594	236.156	512.339
0.551239484	1.8166024	604.768	333.372	1098.623
0.551364937	1.108914202	894.034	492.939	991.407
0.553232906	1.209774127	1786.226	988.199	2160.93
0.55425881	1.147818753	120.7039	66.9012	138.5462
0.555430496	1.201820332	698.334	387.876	839.272
0.556963501	0.757074491	1115.416	621.246	844.453
0.557436198	0.876256842	3204.46	1786.282	2807.93
0.558011934	0.998469784	6750.68	3766.96	6740.35
0.558149388	1.170193705	844.996	471.634	988.809
0.558176844	0.930149719	66.1973	36.9498	61.5734
0.558786241	0.857241983	733.556	409.901	628.835
0.559010523	0.986634303	208.878	116.765	206.0862
0.559517025	0.860317212	384.285	215.014	330.607
0.56030964	0.821700791	546.828	306.393	449.329
0.562058213	0.964172633	373.625	209.999	360.239
0.562202745	1.018152836	200.123	112.5097	203.7558
0.562205864	1.118448316	173.7931	97.7075	194.3786
0.562635087	0.348632849	166.3277	93.5818	57.9873
0.562814348	1.434810773	97.5629	54.9098	139.9843
0.562975241	1.082087476	287.486	161.8475	311.085
0.563408203	0.6548548	577.583	325.415	378.233
0.563600395	1.008279033	71.0711	40.0557	71.6595
0.563859143	1.315061991	200.9814	113.3252	264.303
0.564019452	0.870141474	20.55922	11.5958	17.88943
0.564314565	0.72342388	1564.459	882.847	1131.767
0.566023964	0.82281998	2224.98	1259.392	1830.758
0.56634233	0.946874597	690.743	391.197	654.047
0.56671545	1.212720662	114.5192	64.8998	138.8798
0.567471393	0.619910589	85.7393	48.6546	53.1507
0.567690858	0.764940113	260.075	147.6422	198.9418
0.568370032	1.251625221	948.025	538.829	1186.572
0.570047559	1.160636561	2132.08	1215.387	2474.57
0.570549988	1.296151165	102.8441	58.6777	133.3015
0.570598274	0.976898386	777.002	443.356	759.052
0.570947689	1.312267896	2345.39	1339.095	3077.78
0.571311045	0.496132937	263.042	150.2788	130.5038
0.571577072	1.167975584	28.4077	16.23719	33.1795
0.572765171	0.751475019	219.726	125.8514	165.1186
0.573307181	0.850080659	44.5086	25.5171	37.8359
0.573349668	0.925989471	672.607	385.639	622.827
0.573830147	0.850564803	67.2713	38.6023	57.2186
0.573848355	0.852249063	2655.55	1523.883	2263.19
0.574029423	1.088728411	1247.943	716.356	1358.671
0.574929091	1.071940366	511.924	294.32	548.752
0.57499787	1.387478577	316.833	182.1783	439.599
0.575982305	0.687109305	119.5785	68.8751	82.1635
0.576131656	0.988359692	3413.14	1966.418	3373.41
0.576268509	1.03334433	2576.45	1484.727	2662.36
0.576853892	1.103591315	65.2101	37.6167	71.9653
0.577441759	0.829748729	664.183	383.527	551.105
0.577960424	0.916525556	1308.664	756.356	1199.424
0.578190017	0.562072125	71.8084	41.5189	40.3615
0.578247872	0.768880878	2712.93	1568.746	2085.92
0.578938988	1.155528865	50.8703	29.4508	58.7821
0.580188741	0.834727459	458.83	266.208	382.998
0.580772829	0.664418381	1928.136	1119.809	1281.089
0.582003621	0.833036289	198.0065	115.2405	164.9466
0.582114698	0.482085482	29.7792	17.33491	14.35612
0.582774546	0.444392614	161.8535	94.3241	71.9265
0.582816409	0.605587195	90.5678	52.7844	54.8467
0.582852699	1.218898229	3729.45	2173.72	4545.82
0.583480435	1.535340651	563.671	328.891	865.427
0.583685874	0.865344956	162.3452	94.7586	140.4846
0.583852416	1.08774933	24.3603	14.22282	26.4979
0.584147789	1.023385299	740.679	432.666	758
0.5847989	0.777277744	2065.64	1207.984	1605.576
0.585291074	0.962881168	2164.4	1266.804	2084.06
0.586127428	1.233339051	215.699	126.4271	266.03
0.586530326	0.533367877	741.087	434.67	395.272
0.587409778	1.181716747	948.212	556.989	1120.518
0.588484094	0.74990696	172.2383	101.3595	129.1627
0.588680031	1.386179077	66.2387	38.9934	91.8187
0.589201886	0.932697026	12065.44	7108.98	11253.4
0.590006882	0.500221367	725.039	427.778	362.68
0.590191599	0.617749477	98.0119	57.8458	60.5468
0.590577008	0.770616818	1740.254	1027.754	1341.069
0.591591962	1.237401889	229.459	135.7461	283.933
0.592263125	0.439649883	312.581	185.1302	137.4262
0.592375756	1.280615396	527.79	312.65	675.896
0.592389342	1.051960828	289.699	171.6146	304.752
0.592989965	1.009553259	332.452	197.1407	335.628
0.593227804	0.381747217	133.5106	79.2022	50.9673
0.593523003	1.234131177	277.289	164.5774	342.211
0.593887062	0.9426993	1837.447	1091.236	1732.16
0.594157002	1.011609629	143.5188	85.2727	145.185
0.594227657	0.994016174	346.601	205.9599	344.527
0.595145277	1.065502528	1835.12	1092.163	1955.325
0.595157796	1.658871985	4.32902	2.57645	7.18129
0.595324246	1.104249231	562.69	334.983	621.35
0.595405458	1.104536486	1632.894	972.234	1803.591
0.595819173	0.991249443	2018.5	1202.661	2000.837
0.595936575	1.05167854	1520.786	906.292	1599.378
0.597488397	0.92514086	523.57	312.827	484.376
0.598184724	1.034904649	426.161	254.923	441.036
0.598602271	0.69188812	2572.03	1539.623	1779.557
0.599226192	0.774011778	72.0334	43.1643	55.7547
0.599777044	1.120976858	289.295	173.5125	324.293
0.600262	0.982407283	76.4123	45.8674	75.068
0.600436291	1.080883674	2560.22	1537.249	2767.3
0.601330473	0.879963171	31.6053	19.00523	27.8115
0.601433154	0.952350542	482.293	290.067	459.312
0.601573512	0.78961425	559.767	336.741	442
0.601948139	1.21235848	1233.485	742.494	1495.426
0.602030126	0.853974516	806.551	485.568	688.774
0.602148714	0.964452693	206.356	124.257	199.0206
0.60244911	1.190846141	67.9757	40.9519	80.9486
0.602630884	1.063853161	352.277	212.293	374.771
0.603289373	0.720097699	229.071	138.1961	164.9535
0.604014637	1.022091484	3232.92	1952.731	3304.34
0.604281421	0.889897176	146.8718	88.7519	130.7008
0.604729769	0.414036742	85.4714	51.6871	35.3883
0.605160179	0.40039505	750.284	454.042	300.41
0.605437636	0.891486807	939.342	568.713	837.411
0.605668199	0.682308205	717.406	434.51	489.492
0.605991098	1.079386909	83.4004	50.5399	90.0213
0.606197959	0.910235598	324.026	196.4239	294.94
0.607665329	1.014479611	982.554	597.064	996.781
0.608144027	0.700442208	2539.53	1544.4	1778.794
0.608745327	1.172151854	1185.982	721.961	1390.151
0.608968196	0.924383311	1247.185	759.496	1152.877
0.609138229	1.113380282	71.852	43.7678	79.9986
0.609146557	0.849344644	685.963	417.852	582.619
0.60929597	0.771058836	171.8293	104.6949	132.4905
0.60981696	0.800705029	486.505	296.679	389.547
0.610423096	0.676150706	230.728	140.8417	156.0069
0.610533262	0.628176997	125.3306	76.5185	78.7298
0.611318978	0.864264018	3334.93	2038.706	2882.26
0.611350233	0.877573681	209.1217	127.8466	183.5197
0.611727696	1.402324449	141.4873	86.5517	198.4111
0.611945267	0.631322304	375.496	229.783	237.059
0.612443728	1.15363277	400.507	245.288	462.038
0.612689653	1.128005172	900.198	551.542	1015.428
0.613622236	0.979199838	601.678	369.203	589.163
0.614004003	1.024477316	835.304	512.88	855.75
0.614245759	1.076387181	1610.388	989.174	1733.401
0.614268907	1.151866373	383.337	235.472	441.553
0.615169477	0.994374082	321.903	198.0249	320.092
0.615451694	0.441747439	108.5978	66.8367	47.9728
0.615626715	0.885377816	199.6952	122.9377	176.8057
0.61720359	1.003775065	538.004	332.058	540.035
0.618143674	0.478356136	1190.707	736.028	569.582
0.618386179	0.950524289	855.349	528.936	813.03
0.618741555	1.062291359	6260.74	3873.78	6650.73
0.618763234	1.054765918	305.555	189.0662	322.289
0.618798763	0.667370509	90.8347	56.2084	60.6204
0.619366465	1.702979628	89.34	55.3342	152.1442
0.619541663	1.12929588	243.751	151.0139	275.267
0.619902024	1.33917738	22.0053	13.64113	29.469
0.620120135	1.209787365	260.54	161.5661	315.198
